province_state,confirmed,date
Oklahoma,7,2020-08-04
Oklahoma,9,2020-08-04
Virginia,0,2020-08-04
Virginia,2,2020-08-04
Virginia,16,2020-08-04
Virginia,0,2020-08-04
Virginia,16,2020-08-04
Virginia,3,2020-08-04
Virginia,11,2020-08-04
Virginia,77,2020-08-04
Virginia,2,2020-08-04
Virginia,3,2020-08-04
Virginia,0,2020-08-04
Virginia,3,2020-08-04
Virginia,7,2020-08-04
Virginia,3,2020-08-04
Virginia,0,2020-08-04
Virginia,9,2020-08-04
Virginia,3,2020-08-04
Virginia,4,2020-08-04
Virginia,41,2020-08-04
Virginia,4,2020-08-04
Virginia,3,2020-08-04
Virginia,24,2020-08-04
Virginia,2,2020-08-04
Virginia,1,2020-08-04
Virginia,1,2020-08-04
Virginia,2,2020-08-04
Virginia,119,2020-08-04
Virginia,9,2020-08-04
Virginia,14,2020-08-04
Louisiana,23,2020-08-04
Louisiana,25,2020-08-04
Louisiana,27,2020-08-04
Louisiana,13,2020-08-04
Minnesota,1,2020-08-04
Minnesota,1,2020-08-04
Minnesota,18,2020-08-04
Minnesota,1,2020-08-04
Minnesota,5,2020-08-04
Minnesota,2,2020-08-04
Minnesota,1,2020-08-04
Minnesota,1,2020-08-04
Minnesota,1,2020-08-04
Minnesota,2,2020-08-04
Minnesota,4,2020-08-04
Tennessee,29,2020-08-04
Tennessee,3,2020-08-04
Tennessee,7,2020-08-04
Tennessee,3,2020-08-04
Tennessee,6,2020-08-04
Tennessee,0,2020-08-04
Tennessee,5,2020-08-04
Tennessee,282,2020-08-04
Tennessee,5,2020-08-04
Tennessee,3,2020-08-04
Tennessee,3,2020-08-04
Tennessee,81,2020-08-04
Tennessee,0,2020-08-04
Tennessee,5,2020-08-04
Wisconsin,1,2020-08-04
Wisconsin,5,2020-08-04
Wisconsin,1,2020-08-04
Wisconsin,5,2020-08-04
Wisconsin,0,2020-08-04
Wisconsin,7,2020-08-04
Wisconsin,4,2020-08-04
Wisconsin,3,2020-08-04
California,4,2020-08-04
California,3,2020-08-04
New Mexico,3,2020-08-04
New Mexico,6,2020-08-04
Washington,17,2020-08-04
Washington,10,2020-08-04
Washington,1,2020-08-04
Mississippi,13,2020-08-04
Mississippi,7,2020-08-04
Mississippi,5,2020-08-04
Mississippi,10,2020-08-04
Mississippi,12,2020-08-04
North Dakota,1,2020-08-04
North Dakota,5,2020-08-04
North Dakota,2,2020-08-04
North Dakota,0,2020-08-04
North Dakota,20,2020-08-04
North Dakota,1,2020-08-04
North Dakota,2,2020-08-04
North Dakota,3,2020-08-04
Pennsylvania,1,2020-08-04
Pennsylvania,27,2020-08-04
Pennsylvania,10,2020-08-04
Pennsylvania,37,2020-08-04
Pennsylvania,22,2020-08-04
Pennsylvania,3,2020-08-04
Rhode Island,56,2020-08-04
South Dakota,1,2020-08-04
South Dakota,1,2020-08-04
New Hampshire,56,2020-08-04
West Virginia,6,2020-08-04
West Virginia,3,2020-08-04
West Virginia,6,2020-08-04
West Virginia,3,2020-08-04
West Virginia,4,2020-08-04
West Virginia,2,2020-08-04
West Virginia,18,2020-08-04
West Virginia,1,2020-08-04
West Virginia,1,2020-08-04
West Virginia,6,2020-08-04
West Virginia,10,2020-08-04
West Virginia,4,2020-08-04
West Virginia,3,2020-08-04
West Virginia,2,2020-08-04
North Carolina,13,2020-08-04
North Carolina,3,2020-08-04
North Carolina,53,2020-08-04
North Carolina,81,2020-08-04
North Carolina,3,2020-08-04
North Carolina,10,2020-08-04
North Carolina,2,2020-08-04
North Carolina,2,2020-08-04
North Carolina,7,2020-08-04
North Carolina,8,2020-08-04
North Carolina,2,2020-08-04
South Carolina,2,2020-08-04
South Carolina,7,2020-08-04
South Carolina,9,2020-08-04
South Carolina,30,2020-08-04
South Carolina,21,2020-08-04
Iowa,61,2020-08-04
Iowa,6,2020-08-04
Ohio,11,2020-08-04
Idaho,6,2020-08-04
Texas,62,2020-08-04
Texas,30,2020-08-04
Texas,4,2020-08-04
Texas,3,2020-08-04
Texas,4,2020-08-04
Texas,47,2020-08-04
Texas,40,2020-08-04
Hawaii,48,2020-08-04
Oregon,28,2020-08-04
Alabama,5,2020-08-04
Arizona,404,2020-08-04
Florida,78,2020-08-04
Florida,21,2020-08-04
Georgia,16,2020-08-04
Georgia,12,2020-08-04
Georgia,57,2020-08-04
Georgia,33,2020-08-04
Georgia,2,2020-08-04
Georgia,66,2020-08-04
Georgia,36,2020-08-04
Indiana,82,2020-08-04
Indiana,6,2020-08-04
Indiana,11,2020-08-04
Indiana,27,2020-08-04
Indiana,7,2020-08-04
Montana,25,2020-08-04
Colorado,8,2020-08-04
Colorado,0,2020-08-04
Illinois,20,2020-08-04
Illinois,4,2020-08-04
Illinois,8,2020-08-04
Illinois,16,2020-08-04
Kentucky,13,2020-08-04
Kentucky,1,2020-08-04
Kentucky,13,2020-08-04
Michigan,8,2020-08-04
Michigan,24,2020-08-04
Michigan,1,2020-08-04
Michigan,18,2020-08-04
Michigan,3,2020-08-04
Michigan,126,2020-08-04
Missouri,12,2020-08-04
New York,18,2020-08-04
New York,155,2020-08-04
New York,38,2020-08-04
Oklahoma,23,2020-08-04
Oklahoma,20,2020-08-04
Virginia,60,2020-08-04
Virginia,263,2020-08-04
Louisiana,3,2020-08-04
Tennessee,4,2020-08-04
Wisconsin,25,2020-08-04
California,19,2020-08-04
California,34,2020-08-04
Mississippi,19,2020-08-04
Mississippi,12,2020-08-04
Mississippi,30,2020-08-04
Mississippi,19,2020-08-04
Mississippi,14,2020-08-04
Mississippi,33,2020-08-04
Mississippi,13,2020-08-04
North Dakota,1,2020-08-04
North Dakota,18,2020-08-04
Pennsylvania,13,2020-08-04
South Dakota,2,2020-08-04
South Dakota,6,2020-08-04
West Virginia,68,2020-08-04
North Carolina,13,2020-08-04
North Carolina,25,2020-08-04
North Carolina,54,2020-08-04
North Carolina,24,2020-08-04
North Carolina,51,2020-08-04
Ohio,147,2020-08-04
Idaho,17,2020-08-04
Texas,25,2020-08-04
Alabama,77,2020-08-04
Alabama,15,2020-08-04
Florida,125,2020-08-04
Georgia,19,2020-08-04
