province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Ohio,US,2020-08-04,39.64170392,-83.0243386,POINT(-83.0243386 39.64170392),35,0,0,0,39129,Pickaway,"Pickaway, Ohio, US"
Ohio,US,2020-08-04,39.07634001,-83.06769584,POINT(-83.06769584 39.07634001),1,0,0,0,39131,Pike,"Pike, Ohio, US"
Ohio,US,2020-08-04,39.7420247,-84.64787018,POINT(-84.64787018 39.7420247),8,0,0,0,39135,Preble,"Preble, Ohio, US"
Ohio,US,2020-08-04,41.02094889,-84.1336111,POINT(-84.1336111 41.02094889),0,0,0,0,39137,Putnam,"Putnam, Ohio, US"
Ohio,US,2020-08-04,40.77180308,-82.5379961,POINT(-82.5379961 40.77180308),25,0,0,0,39139,Richland,"Richland, Ohio, US"
Idaho,US,2020-08-04,42.85518524,-113.6357257,POINT(-113.6357257 42.85518524),3,0,0,0,16067,Minidoka,"Minidoka, Idaho, US"
Idaho,US,2020-08-04,42.58016894,-116.1693871,POINT(-116.1693871 42.58016894),2,0,0,0,16073,Owyhee,"Owyhee, Idaho, US"
Idaho,US,2020-08-04,42.69254894,-112.8395742,POINT(-112.8395742 42.69254894),2,0,0,0,16077,Power,"Power, Idaho, US"
Maine,US,2020-08-04,44.49952995,-70.75682123,POINT(-70.75682123 44.49952995),12,0,0,0,23017,Oxford,"Oxford, Maine, US"
Maine,US,2020-08-04,45.40194593,-68.65020455,POINT(-68.65020455 45.40194593),31,0,0,0,23019,Penobscot,"Penobscot, Maine, US"
Texas,US,2020-08-04,32.30600051,-101.9513518,POINT(-101.9513518 32.30600051),2,0,0,0,48317,Martin,"Martin, Texas, US"
Texas,US,2020-08-04,30.71780434,-99.22629416,POINT(-99.22629416 30.71780434),1,0,0,0,48319,Mason,"Mason, Texas, US"
Texas,US,2020-08-04,28.7429195,-100.3157686,POINT(-100.3157686 28.7429195),7,0,0,0,48323,Maverick,"Maverick, Texas, US"
Texas,US,2020-08-04,31.1925468,-99.34682807,POINT(-99.34682807 31.1925468),0,0,0,0,48307,McCulloch,"McCulloch, Texas, US"
Texas,US,2020-08-04,29.3557301,-99.11030298,POINT(-99.11030298 29.3557301),7,0,0,0,48325,Medina,"Medina, Texas, US"
Texas,US,2020-08-04,30.7858183,-96.97718698,POINT(-96.97718698 30.7858183),7,0,0,0,48331,Milam,"Milam, Texas, US"
Texas,US,2020-08-04,32.30623474,-100.9212058,POINT(-100.9212058 32.30623474),1,0,0,0,48335,Mitchell,"Mitchell, Texas, US"
Texas,US,2020-08-04,33.67521893,-97.72500958,POINT(-97.72500958 33.67521893),1,0,0,0,48337,Montague,"Montague, Texas, US"
